temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,0.5101531744003296,0.717391304347826,0.6285714285714286,0.4583333333333333,1.0,0.9012987012987013,0.747,61.576,8.032,10.29
0.9,1,huggyllama/llama-7b,0,xlnet,1.796557903289795,0.717391304347826,0.6285714285714286,0.4583333333333333,1.0,0.9012987012987013,1.7098,26.904,3.509,23.53
0.9,1,huggyllama/llama-7b,0,distilbert,1.0097650289535522,0.6956521739130435,0.5,0.4117647058823529,0.6363636363636364,0.8155844155844156,0.635,72.445,9.449,10.88
0.9,1,huggyllama/llama-30b,0,roberta,0.3936517536640167,0.8043478260869565,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.8883116883116883,0.8696,52.899,6.9,10.59
0.9,1,huggyllama/llama-30b,0,xlnet,0.6687742471694946,0.8478260869565217,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.8207792207792208,1.6795,27.389,3.573,11.18
0.9,1,huggyllama/llama-30b,0,distilbert,0.7280226349830627,0.782608695652174,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8233766233766234,0.6435,71.485,9.324,10.88
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.7986956834793091,0.7608695652173914,0.6451612903225806,0.5,0.9090909090909091,0.8883116883116883,0.8784,52.365,6.83,11.18
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,2.129645586013794,0.717391304347826,0.5806451612903226,0.45,0.8181818181818182,0.8207792207792208,1.6611,27.693,3.612,13.53
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.7685175538063049,0.6956521739130435,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7948051948051948,0.6297,73.048,9.528,10.29
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.8120109438896179,0.7608695652173914,0.6451612903225806,0.5,0.9090909090909091,0.8883116883116883,0.8045,57.179,7.458,10.88
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.9819068908691406,0.8478260869565217,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.877922077922078,1.7019,27.029,3.526,16.76
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.773703932762146,0.6956521739130435,0.41666666666666663,0.38461538461538464,0.45454545454545453,0.7844155844155845,0.6914,66.528,8.678,10.59
0.9,2,huggyllama/llama-7b,0,roberta,0.6458889245986938,0.8260869565217391,0.6,0.6666666666666666,0.5454545454545454,0.8233766233766235,0.6909,66.584,8.685,16.47
0.9,2,huggyllama/llama-7b,0,xlnet,0.526127278804779,0.7608695652173914,0.0,0.0,0.0,0.7532467532467533,0.7838,58.691,7.655,8.24
0.9,2,huggyllama/llama-7b,0,distilbert,0.9560133814811707,0.6086956521739131,0.43749999999999994,0.3333333333333333,0.6363636363636364,0.7064935064935065,0.5449,84.423,11.012,9.71
0.9,2,huggyllama/llama-30b,0,roberta,0.5983145833015442,0.7391304347826086,0.14285714285714288,0.3333333333333333,0.09090909090909091,0.7662337662337663,0.6017,76.445,9.971,10.88
0.9,2,huggyllama/llama-30b,0,xlnet,2.1607723236083984,0.717391304347826,0.43478260869565216,0.4166666666666667,0.45454545454545453,0.7116883116883117,0.8353,55.072,7.183,22.65
0.9,2,huggyllama/llama-30b,0,distilbert,1.7648723125457764,0.5869565217391305,0.4242424242424242,0.3181818181818182,0.6363636363636364,0.6753246753246753,0.589,78.104,10.188,12.06
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.5539553761482239,0.7608695652173914,0.0,0.0,0.0,0.6935064935064935,0.6831,67.336,8.783,9.12
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.8846802115440369,0.6956521739130435,0.5625,0.42857142857142855,0.8181818181818182,0.7454545454545455,0.8044,57.185,7.459,10.29
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,distilbert,1.5332849025726318,0.7391304347826086,0.39999999999999997,0.4444444444444444,0.36363636363636365,0.6883116883116883,0.5307,86.686,11.307,12.94
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.7410563230514526,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.7636363636363637,0.6682,68.844,8.98,16.47
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.7871752381324768,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.7194805194805195,0.738,62.329,8.13,10.29
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,1.0457348823547363,0.8043478260869565,0.64,0.5714285714285714,0.7272727272727273,0.7922077922077922,0.5708,80.592,10.512,13.24
0.9,3,huggyllama/llama-7b,0,roberta,0.515665590763092,0.7555555555555555,0.0,0.0,0.0,0.7620320855614973,0.6737,66.791,8.905,8.57
0.9,3,huggyllama/llama-7b,0,xlnet,0.567753791809082,0.7555555555555555,0.0,0.0,0.0,0.8288770053475936,0.7936,56.701,7.56,7.14
0.9,3,huggyllama/llama-7b,0,distilbert,0.4820541441440582,0.7555555555555555,0.0,0.0,0.0,0.7433155080213905,0.5891,76.392,10.186,8.0
0.9,3,huggyllama/llama-30b,0,roberta,0.617607593536377,0.7555555555555555,0.0,0.0,0.0,0.823529411764706,0.689,65.315,8.709,9.14
0.9,3,huggyllama/llama-30b,0,xlnet,0.4616085886955261,0.7555555555555555,0.0,0.0,0.0,0.8636363636363636,0.8321,54.08,7.211,10.57
0.9,3,huggyllama/llama-30b,0,distilbert,0.4878822863101959,0.7555555555555555,0.0,0.0,0.0,0.7834224598930482,0.6167,72.971,9.73,8.0
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.7799949645996094,0.8,0.4705882352941177,0.6666666666666666,0.36363636363636365,0.8021390374331551,0.627,71.775,9.57,12.29
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.3926917612552643,0.7777777777777778,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8475935828877005,0.8854,50.825,6.777,10.29
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.504865825176239,0.7555555555555555,0.0,0.0,0.0,0.7245989304812833,0.5982,75.228,10.03,8.0
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.2698713541030884,0.7777777777777778,0.37499999999999994,0.6,0.2727272727272727,0.8422459893048128,0.6015,74.81,9.975,14.29
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.4804846942424774,0.8,0.39999999999999997,0.75,0.2727272727272727,0.8689839572192514,0.8106,55.512,7.402,10.57
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.4957825839519501,0.7555555555555555,0.0,0.0,0.0,0.7566844919786097,0.613,73.406,9.787,8.0
0.9,4,huggyllama/llama-7b,0,roberta,1.412684679031372,0.7777777777777778,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.8101604278074865,0.8489,53.013,7.068,13.14
0.9,4,huggyllama/llama-7b,0,xlnet,0.5193762183189392,0.7555555555555555,0.0,0.0,0.0,0.8021390374331551,1.5072,29.857,3.981,6.29
0.9,4,huggyllama/llama-7b,0,distilbert,0.5507776737213135,0.7555555555555555,0.0,0.0,0.0,0.6818181818181818,0.6772,66.451,8.86,7.14
0.9,4,huggyllama/llama-30b,0,roberta,0.6331589221954346,0.7555555555555555,0.0,0.0,0.0,0.8021390374331551,0.775,58.063,7.742,10.86
0.9,4,huggyllama/llama-30b,0,xlnet,1.5468095541000366,0.8,0.3076923076923077,1.0,0.18181818181818182,0.7245989304812834,1.6456,27.346,3.646,12.29
0.9,4,huggyllama/llama-30b,0,distilbert,0.9080297946929932,0.8444444444444444,0.5333333333333333,1.0,0.36363636363636365,0.8181818181818181,0.6201,72.574,9.677,11.14
0.9,4,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.5815650224685669,0.7555555555555555,0.26666666666666666,0.5,0.18181818181818182,0.713903743315508,0.7922,56.806,7.574,9.71
