temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,1.7748980522155762,0.6521739130434783,0.5789473684210525,0.4074074074074074,1.0,0.8935064935064936,0.732,62.838,8.196,15.59
0.9,1,huggyllama/llama-7b,0,xlnet,0.6130995750427246,0.7608695652173914,0.0,0.0,0.0,0.8467532467532468,1.6066,28.631,3.734,10.0
0.9,1,huggyllama/llama-7b,0,distilbert,0.5310644507408142,0.7391304347826086,0.4999999999999999,0.46153846153846156,0.5454545454545454,0.8129870129870129,0.5624,81.794,10.669,9.71
0.9,1,huggyllama/llama-30b,0,roberta,0.9862111210823059,0.8478260869565217,0.6666666666666666,0.7,0.6363636363636364,0.8987012987012988,0.8015,57.394,7.486,12.35
0.9,1,huggyllama/llama-30b,0,xlnet,1.49181067943573,0.7608695652173914,0.56,0.5,0.6363636363636364,0.8051948051948052,1.6819,27.35,3.567,15.88
0.9,1,huggyllama/llama-30b,0,distilbert,0.5070834755897522,0.782608695652174,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8233766233766233,0.6456,71.256,9.294,10.29
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.8847611546516418,0.8043478260869565,0.7096774193548387,0.55,1.0,0.903896103896104,0.8412,54.687,7.133,12.06
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,1.143094539642334,0.8043478260869565,0.6666666666666666,0.5625,0.8181818181818182,0.8831168831168831,1.7024,27.021,3.525,18.53
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.4369417130947113,0.7608695652173914,0.5217391304347826,0.5,0.5454545454545454,0.8441558441558441,0.6348,72.461,9.451,9.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.9307149648666382,0.717391304347826,0.6060606060606061,0.45454545454545453,0.9090909090909091,0.8467532467532467,0.8413,54.677,7.132,13.82
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.59360933303833,0.782608695652174,0.5,0.5555555555555556,0.45454545454545453,0.8415584415584416,1.7168,26.795,3.495,17.94
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,1.3442773818969727,0.7608695652173914,0.6206896551724137,0.5,0.8181818181818182,0.8415584415584416,0.7013,65.594,8.556,13.53
0.9,2,huggyllama/llama-7b,0,roberta,1.7874153852462769,0.7391304347826086,0.33333333333333326,0.42857142857142855,0.2727272727272727,0.7922077922077922,0.6208,74.095,9.665,15.0
0.9,2,huggyllama/llama-7b,0,xlnet,0.7944923043251038,0.782608695652174,0.5,0.5555555555555556,0.45454545454545453,0.7324675324675325,0.7935,57.973,7.562,10.29
0.9,2,huggyllama/llama-7b,0,distilbert,1.732413411140442,0.717391304347826,0.43478260869565216,0.4166666666666667,0.45454545454545453,0.7116883116883116,0.5671,81.112,10.58,22.94
0.9,2,huggyllama/llama-30b,0,roberta,2.2937729358673096,0.5652173913043478,0.5238095238095238,0.3548387096774194,1.0,0.8415584415584416,0.6359,72.338,9.435,13.82
0.9,2,huggyllama/llama-30b,0,xlnet,0.5046696066856384,0.6956521739130435,0.0,0.0,0.0,0.7896103896103897,0.801,57.43,7.491,8.24
0.9,2,huggyllama/llama-30b,0,distilbert,0.8744081258773804,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.7324675324675325,0.5432,84.69,11.046,10.29
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,1.1909573078155518,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.6675324675324674,0.6504,70.724,9.225,11.47
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,xlnet,2.0150678157806396,0.782608695652174,0.5,0.5555555555555556,0.45454545454545453,0.7324675324675325,0.7613,60.419,7.881,13.82
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,distilbert,1.3490886688232422,0.7391304347826086,0.14285714285714288,0.3333333333333333,0.09090909090909091,0.7766233766233767,0.5271,87.267,11.383,12.65
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.583940863609314,0.7608695652173914,0.0,0.0,0.0,0.6337662337662338,0.8379,54.902,7.161,7.65
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.1234389543533325,0.6521739130434783,0.3846153846153846,0.3333333333333333,0.45454545454545453,0.6961038961038961,0.7905,58.188,7.59,10.29
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.8562246561050415,0.7391304347826086,0.5384615384615385,0.4666666666666667,0.6363636363636364,0.7896103896103897,0.5263,87.395,11.399,12.06
0.9,3,huggyllama/llama-7b,0,roberta,0.4980359375476837,0.7555555555555555,0.0,0.0,0.0,0.7834224598930482,0.6302,71.407,9.521,8.86
0.9,3,huggyllama/llama-7b,0,xlnet,1.3751673698425293,0.8,0.4705882352941177,0.6666666666666666,0.36363636363636365,0.8475935828877005,0.7725,58.252,7.767,14.0
0.9,3,huggyllama/llama-7b,0,distilbert,0.5125711560249329,0.7555555555555555,0.0,0.0,0.0,0.7941176470588235,0.5321,84.574,11.277,8.0
