temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,1.7820663452148438,0.7608695652173914,0.6451612903225806,0.5,0.9090909090909091,0.8779220779220779,0.7303,62.988,8.216,16.18
0.9,1,huggyllama/llama-7b,0,xlnet,0.47508704662323,0.8043478260869565,0.6666666666666666,0.5625,0.8181818181818182,0.8623376623376624,1.6317,28.191,3.677,10.59
0.9,1,huggyllama/llama-7b,0,distilbert,0.6805486083030701,0.7608695652173914,0.5925925925925926,0.5,0.7272727272727273,0.8285714285714285,0.5837,78.809,10.279,10.59
0.9,1,huggyllama/llama-30b,0,roberta,1.2209408283233643,0.782608695652174,0.6153846153846153,0.5333333333333333,0.7272727272727273,0.8441558441558441,0.8009,57.438,7.492,15.59
0.9,1,huggyllama/llama-30b,0,xlnet,1.701037049293518,0.7608695652173914,0.6451612903225806,0.5,0.9090909090909091,0.8649350649350649,1.733,26.543,3.462,14.71
0.9,1,huggyllama/llama-30b,0,distilbert,0.5167701840400696,0.7608695652173914,0.3529411764705882,0.5,0.2727272727272727,0.7948051948051948,0.6396,71.919,9.381,9.71
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.5988956689834595,0.8043478260869565,0.6666666666666666,0.5625,0.8181818181818182,0.8623376623376624,0.8447,54.456,7.103,10.29
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,2.3539371490478516,0.7608695652173914,0.0,0.0,0.0,0.8363636363636364,1.6933,27.167,3.543,28.82
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.5691495537757874,0.782608695652174,0.6153846153846153,0.5333333333333333,0.7272727272727273,0.8051948051948052,0.6599,69.71,9.093,10.59
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.8816990852355957,0.8043478260869565,0.6896551724137931,0.5555555555555556,0.9090909090909091,0.9116883116883117,0.8517,54.012,7.045,12.06
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.6186981201171875,0.782608695652174,0.6428571428571428,0.5294117647058824,0.8181818181818182,0.8467532467532468,1.7166,26.797,3.495,14.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.5962337851524353,0.717391304347826,0.43478260869565216,0.4166666666666667,0.45454545454545453,0.7896103896103897,0.6582,69.887,9.116,9.71
0.9,2,huggyllama/llama-7b,0,roberta,0.6437398791313171,0.7608695652173914,0.0,0.0,0.0,0.7662337662337663,0.6249,73.61,9.601,8.24
0.9,2,huggyllama/llama-7b,0,xlnet,0.5663868188858032,0.7608695652173914,0.0,0.0,0.0,0.7142857142857143,0.8059,57.077,7.445,10.59
0.9,2,huggyllama/llama-7b,0,distilbert,0.5580155253410339,0.7608695652173914,0.0,0.0,0.0,0.7142857142857143,0.5212,88.251,11.511,8.53
0.9,2,huggyllama/llama-30b,0,roberta,2.018442153930664,0.6956521739130435,0.3,0.3333333333333333,0.2727272727272727,0.7298701298701299,0.6131,75.026,9.786,13.82
0.9,2,huggyllama/llama-30b,0,xlnet,0.48314085602760315,0.7608695652173914,0.0,0.0,0.0,0.7584415584415585,0.7487,61.442,8.014,7.94
