temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,0.92844557762146,0.8043478260869565,0.6896551724137931,0.5555555555555556,0.9090909090909091,0.8753246753246753,0.6947,66.218,8.637,10.88
0.9,1,huggyllama/llama-7b,0,xlnet,0.6211768984794617,0.7391304347826086,0.6,0.47368421052631576,0.8181818181818182,0.7974025974025974,1.6577,27.749,3.619,10.59
0.9,1,huggyllama/llama-7b,0,distilbert,0.5044142007827759,0.717391304347826,0.4799999999999999,0.42857142857142855,0.5454545454545454,0.838961038961039,0.5555,82.811,10.801,9.71
0.9,1,huggyllama/llama-30b,0,roberta,0.7958258986473083,0.8043478260869565,0.7096774193548387,0.55,1.0,0.8623376623376624,0.7771,59.195,7.721,10.88
0.9,1,huggyllama/llama-30b,0,xlnet,0.3294734060764313,0.8695652173913043,0.625,1.0,0.45454545454545453,0.9168831168831169,1.6652,27.625,3.603,10.29
0.9,1,huggyllama/llama-30b,0,distilbert,1.3706172704696655,0.6956521739130435,0.5333333333333333,0.42105263157894735,0.7272727272727273,0.7974025974025974,0.6076,75.711,9.875,12.35
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.5158200263977051,0.8260869565217391,0.6666666666666667,0.6153846153846154,0.7272727272727273,0.8519480519480519,0.8203,56.074,7.314,10.88
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,2.1189911365509033,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.8285714285714285,1.7125,26.862,3.504,20.88
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.5009843707084656,0.782608695652174,0.6153846153846153,0.5333333333333333,0.7272727272727273,0.8025974025974025,0.6432,71.515,9.328,9.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.48955950140953064,0.7608695652173914,0.6206896551724137,0.5,0.8181818181818182,0.8441558441558441,0.8423,54.615,7.124,10.29
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.0868436098098755,0.7391304347826086,0.4999999999999999,0.46153846153846156,0.5454545454545454,0.8233766233766234,1.699,27.074,3.531,14.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.6841055154800415,0.7608695652173914,0.6206896551724137,0.5,0.8181818181818182,0.8597402597402597,0.6416,71.696,9.352,10.88
0.9,2,huggyllama/llama-7b,0,roberta,0.5502364635467529,0.7608695652173914,0.0,0.0,0.0,0.8207792207792207,0.618,74.437,9.709,17.06
0.9,2,huggyllama/llama-7b,0,xlnet,0.6251876950263977,0.7608695652173914,0.4210526315789474,0.5,0.36363636363636365,0.7298701298701299,0.7257,63.39,8.268,10.29
0.9,2,huggyllama/llama-7b,0,distilbert,0.9948068857192993,0.8043478260869565,0.4705882352941177,0.6666666666666666,0.36363636363636365,0.7896103896103897,0.5825,78.968,10.3,10.88
0.9,2,huggyllama/llama-30b,0,roberta,0.674217700958252,0.7608695652173914,0.0,0.0,0.0,0.7064935064935065,0.6124,75.12,9.798,6.47
0.9,2,huggyllama/llama-30b,0,xlnet,1.9628839492797852,0.7391304347826086,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.7350649350649351,0.7605,60.484,7.889,18.53
0.9,2,huggyllama/llama-30b,0,distilbert,1.2060827016830444,0.7391304347826086,0.0,0.0,0.0,0.7688311688311689,0.5393,85.291,11.125,10.59
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,2.2923672199249268,0.6956521739130435,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6935064935064935,0.6443,71.396,9.313,14.71
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.9943638443946838,0.717391304347826,0.3157894736842105,0.375,0.2727272727272727,0.7636363636363637,0.7411,62.068,8.096,10.29
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.963214099407196,0.782608695652174,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.7376623376623377,0.5125,89.748,11.706,10.29
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,2.1214020252227783,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.7922077922077924,0.6145,74.852,9.763,15.59
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,2.824596643447876,0.717391304347826,0.13333333333333333,0.25,0.09090909090909091,0.8077922077922078,0.7742,59.419,7.75,16.47
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.9077194929122925,0.7391304347826086,0.14285714285714288,0.3333333333333333,0.09090909090909091,0.735064935064935,0.5329,86.326,11.26,10.0
0.9,3,huggyllama/llama-7b,0,roberta,1.026206612586975,0.7777777777777778,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8101604278074866,0.6215,72.4,9.653,13.14
0.9,3,huggyllama/llama-7b,0,xlnet,1.2764613628387451,0.8,0.5714285714285713,0.6,0.5454545454545454,0.8689839572192514,0.7872,57.167,7.622,17.71
0.9,3,huggyllama/llama-7b,0,distilbert,0.48087501525878906,0.7555555555555555,0.5925925925925926,0.5,0.7272727272727273,0.7914438502673796,0.6621,67.97,9.063,9.43
0.9,3,huggyllama/llama-30b,0,roberta,1.3982199430465698,0.7555555555555555,0.26666666666666666,0.5,0.18181818181818182,0.7780748663101604,0.6425,70.035,9.338,13.14
0.9,3,huggyllama/llama-30b,0,xlnet,0.4991329610347748,0.7555555555555555,0.0,0.0,0.0,0.8636363636363636,0.7907,56.911,7.588,10.0
0.9,3,huggyllama/llama-30b,0,distilbert,0.4921765625476837,0.7555555555555555,0.0,0.0,0.0,0.7994652406417112,0.5408,83.215,11.095,8.0
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.6720603704452515,0.7555555555555555,0.0,0.0,0.0,0.8582887700534759,0.6407,70.23,9.364,6.0
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.6797738671302795,0.8444444444444444,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.877005347593583,0.7983,56.367,7.516,12.0
