temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,1.0483852624893188,0.7391304347826086,0.6470588235294118,0.4782608695652174,1.0,0.8701298701298701,0.6766,67.984,8.868,10.88
0.9,1,huggyllama/llama-7b,0,xlnet,1.6356604099273682,0.8260869565217391,0.6,0.6666666666666666,0.5454545454545454,0.8753246753246753,1.5757,29.194,3.808,20.59
0.9,1,huggyllama/llama-7b,0,distilbert,0.8950756192207336,0.7391304347826086,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.8337662337662337,0.5323,86.422,11.272,11.18
0.9,1,huggyllama/llama-30b,0,roberta,0.8375871181488037,0.7391304347826086,0.6,0.47368421052631576,0.8181818181818182,0.8675324675324676,0.7495,61.371,8.005,10.88
0.9,1,huggyllama/llama-30b,0,xlnet,0.7176267504692078,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.8,1.6614,27.687,3.611,11.76
0.9,1,huggyllama/llama-30b,0,distilbert,0.5076719522476196,0.7608695652173914,0.3529411764705882,0.5,0.2727272727272727,0.7818181818181819,0.5962,77.15,10.063,9.71
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,1.2375946044921875,0.6521739130434783,0.5789473684210525,0.4074074074074074,1.0,0.8753246753246753,0.7911,58.145,7.584,11.47
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.5575482845306396,0.8043478260869565,0.5714285714285713,0.6,0.5454545454545454,0.8233766233766233,1.6556,27.784,3.624,10.88
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.8539420962333679,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.7922077922077921,0.6341,72.542,9.462,10.88
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.5630418062210083,0.7391304347826086,0.6249999999999999,0.47619047619047616,0.9090909090909091,0.8857142857142857,0.824,55.825,7.282,9.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.340074896812439,0.7391304347826086,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.8441558441558441,1.6429,27.999,3.652,12.06
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.5487313270568848,0.782608695652174,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8441558441558441,0.6299,73.026,9.525,10.29
0.9,2,huggyllama/llama-7b,0,roberta,1.5508235692977905,0.6956521739130435,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.8207792207792208,0.5864,78.446,10.232,13.53
0.9,2,huggyllama/llama-7b,0,xlnet,0.5477779507637024,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.7688311688311689,0.7727,59.531,7.765,8.82
0.9,2,huggyllama/llama-7b,0,distilbert,1.0848751068115234,0.7608695652173914,0.3529411764705882,0.5,0.2727272727272727,0.7038961038961039,0.4977,92.433,12.056,11.18
0.9,2,huggyllama/llama-30b,0,roberta,0.6541706323623657,0.7608695652173914,0.0,0.0,0.0,0.7714285714285715,0.5871,78.349,10.219,6.18
0.9,2,huggyllama/llama-30b,0,xlnet,0.5194133520126343,0.7608695652173914,0.3529411764705882,0.5,0.2727272727272727,0.7506493506493507,0.8006,57.458,7.494,8.82
0.9,2,huggyllama/llama-30b,0,distilbert,1.177899718284607,0.7608695652173914,0.47619047619047616,0.5,0.45454545454545453,0.7038961038961039,0.5074,90.666,11.826,11.47
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,1.8098111152648926,0.717391304347826,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7584415584415584,0.5802,79.279,10.341,12.94
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.5335127711296082,0.7608695652173914,0.0,0.0,0.0,0.7376623376623377,0.754,61.004,7.957,8.24
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.8487752079963684,0.7391304347826086,0.14285714285714288,0.3333333333333333,0.09090909090909091,0.7922077922077921,0.4955,92.829,12.108,10.59
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.2369009256362915,0.7608695652173914,0.0,0.0,0.0,0.7948051948051948,0.6072,75.762,9.882,10.59
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.5256450772285461,0.7608695652173914,0.0,0.0,0.0,0.7142857142857143,0.7583,60.665,7.913,8.53
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.967154324054718,0.7608695652173914,0.15384615384615385,0.5,0.09090909090909091,0.7194805194805195,0.4891,94.052,12.268,10.59
0.9,3,huggyllama/llama-7b,0,roberta,0.5391833782196045,0.7111111111111111,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7834224598930482,0.6143,73.255,9.767,11.14
0.9,3,huggyllama/llama-7b,0,xlnet,1.3821948766708374,0.8222222222222222,0.5000000000000001,0.8,0.36363636363636365,0.8796791443850267,0.7335,61.351,8.18,16.0
0.9,3,huggyllama/llama-7b,0,distilbert,0.4854503273963928,0.7555555555555555,0.0,0.0,0.0,0.8021390374331551,0.6652,67.645,9.019,8.0
0.9,3,huggyllama/llama-30b,0,roberta,0.5705010890960693,0.8,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.7433155080213903,0.5705,78.878,10.517,10.29
0.9,3,huggyllama/llama-30b,0,xlnet,0.5131597518920898,0.7777777777777778,0.16666666666666669,1.0,0.09090909090909091,0.7566844919786095,0.7825,57.506,7.667,10.29
0.9,3,huggyllama/llama-30b,0,distilbert,0.49774548411369324,0.7555555555555555,0.0,0.0,0.0,0.7620320855614973,0.4656,96.644,12.886,8.0
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.4660823345184326,0.7333333333333333,0.39999999999999997,0.4444444444444444,0.36363636363636365,0.8368983957219251,0.562,80.071,10.676,9.43
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.42486143112182617,0.8444444444444444,0.6666666666666666,0.7,0.6363636363636364,0.8636363636363636,0.7196,62.533,8.338,7.71
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.5110127329826355,0.7555555555555555,0.0,0.0,0.0,0.7513368983957219,0.4667,96.419,12.856,8.0
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.5337469577789307,0.8,0.64,0.5714285714285714,0.7272727272727273,0.8342245989304813,0.5881,76.523,10.203,12.86
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.4288264811038971,0.8,0.4705882352941177,0.6666666666666666,0.36363636363636365,0.8395721925133689,0.7661,58.738,7.832,10.29
0.9,3,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.4865019619464874,0.7555555555555555,0.0,0.0,0.0,0.7727272727272727,0.485,92.787,12.372,8.0
0.9,4,huggyllama/llama-7b,0,roberta,0.8824278116226196,0.7555555555555555,0.0,0.0,0.0,0.732620320855615,0.7358,61.162,8.155,9.14
0.9,4,huggyllama/llama-7b,0,xlnet,0.5992845892906189,0.6444444444444445,0.3846153846153846,0.3333333333333333,0.45454545454545453,0.6844919786096256,1.4205,31.679,4.224,7.71
0.9,4,huggyllama/llama-7b,0,distilbert,0.5819152593612671,0.7555555555555555,0.0,0.0,0.0,0.7566844919786095,0.5608,80.248,10.7,9.14
0.9,4,huggyllama/llama-30b,0,roberta,0.5083572268486023,0.8,0.3076923076923077,1.0,0.18181818181818182,0.7941176470588236,0.7259,61.988,8.265,9.14
0.9,4,huggyllama/llama-30b,0,xlnet,0.5217792987823486,0.7555555555555555,0.0,0.0,0.0,0.7620320855614974,1.4503,31.028,4.137,6.57
0.9,4,huggyllama/llama-30b,0,distilbert,0.6773591041564941,0.8222222222222222,0.42857142857142855,1.0,0.2727272727272727,0.7647058823529411,0.5466,82.32,10.976,10.29
0.9,4,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.7686299085617065,0.6666666666666666,0.5161290322580645,0.4,0.7272727272727273,0.767379679144385,0.7425,60.609,8.081,17.14
0.9,4,Aeala/VicUnlocked-alpaca-30b,0,xlnet,1.2311469316482544,0.7777777777777778,0.16666666666666669,1.0,0.09090909090909091,0.7459893048128342,1.482,30.363,4.048,10.86
0.9,4,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.5513343214988708,0.7555555555555555,0.0,0.0,0.0,0.7834224598930482,0.5762,78.102,10.414,6.86
0.9,4,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.5306742191314697,0.7777777777777778,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.7754010695187166,0.7344,61.272,8.17,15.43
0.9,4,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.4903665781021118,0.8222222222222222,0.5000000000000001,0.8,0.36363636363636365,0.7433155080213903,1.4631,30.757,4.101,17.43
0.9,4,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,1.04691481590271,0.8444444444444444,0.5333333333333333,1.0,0.36363636363636365,0.7967914438502673,0.5668,79.39,10.585,12.86
