temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.9,1,huggyllama/llama-7b,0,roberta,0.5524722933769226,0.8260869565217391,0.6923076923076923,0.6,0.8181818181818182,0.8909090909090909,0.6919,66.486,8.672,10.88
0.9,1,huggyllama/llama-7b,0,xlnet,0.4859355390071869,0.7608695652173914,0.0,0.0,0.0,0.787012987012987,1.6588,27.731,3.617,6.47
0.9,1,huggyllama/llama-7b,0,distilbert,0.40055838227272034,0.782608695652174,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.8623376623376624,0.5524,83.28,10.863,9.71
0.9,1,huggyllama/llama-30b,0,roberta,1.4424891471862793,0.7608695652173914,0.5217391304347826,0.5,0.5454545454545454,0.8753246753246754,0.7882,58.364,7.613,12.35
0.9,1,huggyllama/llama-30b,0,xlnet,0.4672399163246155,0.7391304347826086,0.5384615384615385,0.4666666666666667,0.6363636363636364,0.812987012987013,1.8659,24.653,3.216,10.88
0.9,1,huggyllama/llama-30b,0,distilbert,1.240665316581726,0.7608695652173914,0.5217391304347826,0.5,0.5454545454545454,0.8,0.6222,73.937,9.644,14.41
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,roberta,2.199618101119995,0.6739130434782609,0.5714285714285715,0.4166666666666667,0.9090909090909091,0.8701298701298701,0.8335,55.186,7.198,13.82
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,xlnet,1.7911325693130493,0.7391304347826086,0.6249999999999999,0.47619047619047616,0.9090909090909091,0.8181818181818181,1.7314,26.569,3.465,15.59
0.9,1,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.4839079976081848,0.782608695652174,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.8051948051948052,0.6381,72.086,9.403,9.71
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,0.5846638679504395,0.8260869565217391,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.8831168831168832,0.8486,54.207,7.07,26.18
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,1.403817057609558,0.782608695652174,0.37499999999999994,0.6,0.2727272727272727,0.8623376623376624,1.8732,24.556,3.203,15.59
0.9,1,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,0.5474794507026672,0.7608695652173914,0.0,0.0,0.0,0.825974025974026,0.6467,71.126,9.277,7.06
0.9,2,huggyllama/llama-7b,0,roberta,0.6841835975646973,0.7608695652173914,0.0,0.0,0.0,0.7272727272727273,0.6332,72.649,9.476,6.18
0.9,2,huggyllama/llama-7b,0,xlnet,1.016862392425537,0.717391304347826,0.5185185185185185,0.4375,0.6363636363636364,0.6909090909090909,0.8531,53.922,7.033,10.88
0.9,2,huggyllama/llama-7b,0,distilbert,1.4767277240753174,0.7608695652173914,0.15384615384615385,0.5,0.09090909090909091,0.7922077922077922,0.5943,77.405,10.096,13.82
0.9,2,huggyllama/llama-30b,0,roberta,0.557740330696106,0.7608695652173914,0.0,0.0,0.0,0.6649350649350649,0.6219,73.967,9.648,8.82
0.9,2,huggyllama/llama-30b,0,xlnet,2.3483493328094482,0.6521739130434783,0.33333333333333337,0.3076923076923077,0.36363636363636365,0.7220779220779221,0.7639,60.22,7.855,17.94
0.9,2,huggyllama/llama-30b,0,distilbert,1.5671967267990112,0.6956521739130435,0.3,0.3333333333333333,0.2727272727272727,0.6649350649350649,0.4866,94.53,12.33,13.24
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.6917779445648193,0.6086956521739131,0.5263157894736842,0.37037037037037035,0.9090909090909091,0.7922077922077922,0.6269,73.372,9.57,10.88
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,xlnet,0.551853358745575,0.717391304347826,0.23529411764705885,0.3333333333333333,0.18181818181818182,0.7480519480519481,1.0444,44.046,5.745,9.71
0.9,2,Aeala/VicUnlocked-alpaca-30b,0,distilbert,0.9310151934623718,0.7391304347826086,0.14285714285714288,0.3333333333333333,0.09090909090909091,0.7272727272727273,0.51,90.188,11.764,10.0
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,roberta,1.6703392267227173,0.6956521739130435,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6727272727272727,0.6402,71.858,9.373,12.06
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,xlnet,0.8752501010894775,0.6086956521739131,0.43749999999999994,0.3333333333333333,0.6363636363636364,0.6987012987012987,0.7805,58.936,7.687,10.29
0.9,2,/scratch/cehrett/hf_cache/models--alpaca-7b,0,distilbert,1.421846628189087,0.7608695652173914,0.4210526315789474,0.5,0.36363636363636365,0.7584415584415585,0.5034,91.376,11.919,13.24
0.9,3,huggyllama/llama-7b,0,roberta,0.6686763167381287,0.7555555555555555,0.0,0.0,0.0,0.8181818181818182,0.6335,71.033,9.471,9.14
0.9,3,huggyllama/llama-7b,0,xlnet,0.48110899329185486,0.7333333333333333,0.0,0.0,0.0,0.7834224598930482,0.8782,51.243,6.832,7.71
0.9,3,huggyllama/llama-7b,0,distilbert,0.5182158946990967,0.7555555555555555,0.0,0.0,0.0,0.7112299465240641,0.5474,82.202,10.96,7.71
0.9,3,huggyllama/llama-30b,0,roberta,0.8567189574241638,0.8666666666666667,0.7000000000000001,0.7777777777777778,0.6363636363636364,0.8315508021390373,0.5937,75.794,10.106,13.43
0.9,3,huggyllama/llama-30b,0,xlnet,0.49381494522094727,0.7111111111111111,0.5185185185185185,0.4375,0.6363636363636364,0.8288770053475936,1.0532,42.725,5.697,10.29
0.9,3,huggyllama/llama-30b,0,distilbert,0.48984235525131226,0.7555555555555555,0.0,0.0,0.0,0.7379679144385027,0.5288,85.099,11.346,7.71
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,roberta,0.4035404622554779,0.8444444444444444,0.5333333333333333,1.0,0.36363636363636365,0.8636363636363635,0.5959,75.511,10.068,10.29
0.9,3,Aeala/VicUnlocked-alpaca-30b,0,xlnet,1.261750340461731,0.8222222222222222,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.8663101604278075,1.2811,35.126,4.683,18.0
