temperature,training_fold,llm_type,aug_count,classifier,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.5,1,huggyllama/llama-7b,10,roberta,0.5156348347663879,0.8043478260869565,0.64,0.5714285714285714,0.7272727272727273,0.8597402597402597,4.3114,10.669,1.392,8.92
0.7,1,huggyllama/llama-7b,10,roberta,0.47188928723335266,0.7608695652173914,0.0,0.0,0.0,0.8987012987012987,4.2335,10.866,1.417,7.84
0.7,1,huggyllama/llama-7b,50,roberta,0.3983898460865021,0.782608695652174,0.16666666666666669,1.0,0.09090909090909091,0.8831168831168831,4.2687,10.776,1.406,7.45
0.7,1,huggyllama/llama-7b,100,roberta,0.7245805263519287,0.8043478260869565,0.6666666666666666,0.5625,0.8181818181818182,0.8493506493506493,4.3586,10.554,1.377,8.14
0.9,1,huggyllama/llama-7b,10,roberta,0.9900866150856018,0.717391304347826,0.3157894736842105,0.375,0.2727272727272727,0.8493506493506493,4.3214,10.645,1.388,10.54
0.9,1,huggyllama/llama-7b,50,roberta,0.8339205384254456,0.782608695652174,0.5,0.5555555555555556,0.45454545454545453,0.864935064935065,4.3952,10.466,1.365,9.15
0.9,1,huggyllama/llama-7b,100,roberta,0.6509328484535217,0.7608695652173914,0.6206896551724137,0.5,0.8181818181818182,0.8701298701298701,4.438,10.365,1.352,7.46
1.1,1,huggyllama/llama-7b,10,roberta,0.4294985830783844,0.8260869565217391,0.6666666666666667,0.6153846153846154,0.7272727272727273,0.8883116883116883,4.4412,10.358,1.351,8.92
1.1,1,huggyllama/llama-7b,50,roberta,0.4868953227996826,0.8043478260869565,0.3076923076923077,1.0,0.18181818181818182,0.9194805194805195,4.4716,10.287,1.342,7.87
1.1,1,huggyllama/llama-7b,100,roberta,0.5190447568893433,0.7608695652173914,0.0,0.0,0.0,0.8181818181818181,4.3182,10.653,1.389,5.25
1.3,1,huggyllama/llama-7b,10,roberta,0.682711124420166,0.8043478260869565,0.64,0.5714285714285714,0.7272727272727273,0.8909090909090909,4.3678,10.532,1.374,10.81
1.3,1,huggyllama/llama-7b,50,roberta,0.722777247428894,0.5434782608695652,0.5116279069767442,0.34375,1.0,0.9012987012987013,4.4208,10.405,1.357,6.38
1.3,1,huggyllama/llama-7b,100,roberta,0.7366521954536438,0.8260869565217391,0.7333333333333334,0.5789473684210527,1.0,0.8701298701298702,4.3994,10.456,1.364,7.29
1.5,1,huggyllama/llama-7b,10,roberta,1.2821682691574097,0.782608695652174,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.9038961038961039,4.2867,10.731,1.4,13.78
1.5,1,huggyllama/llama-7b,50,roberta,0.549203634262085,0.717391304347826,0.5806451612903226,0.45,0.8181818181818182,0.8233766233766233,4.3215,10.644,1.388,7.66
1.5,1,huggyllama/llama-7b,100,roberta,1.1287341117858887,0.8260869565217391,0.42857142857142855,1.0,0.2727272727272727,0.9064935064935065,4.528,10.159,1.325,10.34
0.5,1,huggyllama/llama-7b,10,xlnet,1.4764293432235718,0.7391304347826086,0.6,0.47368421052631576,0.8181818181818182,0.8467532467532468,11.7644,3.91,0.51,11.08
0.7,1,huggyllama/llama-7b,10,xlnet,0.6728664636611938,0.7608695652173914,0.26666666666666666,0.5,0.18181818181818182,0.8467532467532468,11.8321,3.888,0.507,9.73
0.7,1,huggyllama/llama-7b,50,xlnet,0.44480109214782715,0.8260869565217391,0.5000000000000001,0.8,0.36363636363636365,0.7896103896103897,11.8582,3.879,0.506,7.45
0.7,1,huggyllama/llama-7b,100,xlnet,0.700590968132019,0.8260869565217391,0.6,0.6666666666666666,0.5454545454545454,0.8415584415584416,11.7859,3.903,0.509,7.97
0.9,1,huggyllama/llama-7b,10,xlnet,2.6213128566741943,0.6521739130434783,0.5555555555555556,0.4,0.9090909090909091,0.8675324675324675,11.7735,3.907,0.51,17.57
0.9,1,huggyllama/llama-7b,50,xlnet,1.2335443496704102,0.6739130434782609,0.5161290322580645,0.4,0.7272727272727273,0.8181818181818181,11.944,3.851,0.502,9.15
0.9,1,huggyllama/llama-7b,100,xlnet,1.9296249151229858,0.8043478260869565,0.5263157894736842,0.625,0.45454545454545453,0.8233766233766233,11.7919,3.901,0.509,12.2
1.1,1,huggyllama/llama-7b,10,xlnet,0.9615311622619629,0.8260869565217391,0.6666666666666667,0.6153846153846154,0.7272727272727273,0.8701298701298701,11.7827,3.904,0.509,12.7
1.1,1,huggyllama/llama-7b,50,xlnet,1.5254652500152588,0.7608695652173914,0.5217391304347826,0.5,0.5454545454545454,0.8285714285714285,12.0139,3.829,0.499,12.55
1.1,1,huggyllama/llama-7b,100,xlnet,0.4633151888847351,0.782608695652174,0.5,0.5555555555555556,0.45454545454545453,0.8467532467532468,12.0078,3.831,0.5,6.1
1.3,1,huggyllama/llama-7b,10,xlnet,1.9023048877716064,0.782608695652174,0.6428571428571428,0.5294117647058824,0.8181818181818182,0.8753246753246753,11.8204,3.892,0.508,15.41
1.3,1,huggyllama/llama-7b,50,xlnet,1.1702418327331543,0.782608695652174,0.28571428571428575,0.6666666666666666,0.18181818181818182,0.8181818181818182,11.9508,3.849,0.502,10.0
1.3,1,huggyllama/llama-7b,100,xlnet,0.42941537499427795,0.8043478260869565,0.3076923076923077,1.0,0.18181818181818182,0.8597402597402597,11.8511,3.881,0.506,6.44
1.5,1,huggyllama/llama-7b,10,xlnet,2.5596084594726562,0.5869565217391305,0.5365853658536585,0.36666666666666664,1.0,0.8961038961038962,11.7176,3.926,0.512,11.89
1.5,1,huggyllama/llama-7b,50,xlnet,1.4034324884414673,0.6956521739130435,0.5333333333333333,0.42105263157894735,0.7272727272727273,0.7870129870129869,11.8911,3.868,0.505,8.72
1.5,1,huggyllama/llama-7b,100,xlnet,1.3606081008911133,0.717391304347826,0.6060606060606061,0.45454545454545453,0.9090909090909091,0.9090909090909092,11.9488,3.85,0.502,9.83
0.5,1,huggyllama/llama-7b,10,distilbert,0.6774473786354065,0.6956521739130435,0.5333333333333333,0.42105263157894735,0.7272727272727273,0.8,2.7347,16.821,2.194,9.19
0.7,1,huggyllama/llama-7b,10,distilbert,1.016010046005249,0.7608695652173914,0.6206896551724137,0.5,0.8181818181818182,0.8467532467532468,2.8023,16.415,2.141,11.35
0.7,1,huggyllama/llama-7b,50,distilbert,1.0798150300979614,0.717391304347826,0.4799999999999999,0.42857142857142855,0.5454545454545454,0.774025974025974,2.8522,16.128,2.104,8.72
0.7,1,huggyllama/llama-7b,100,distilbert,0.660790741443634,0.782608695652174,0.6428571428571428,0.5294117647058824,0.8181818181818182,0.8831168831168832,2.6712,17.221,2.246,7.46
0.9,1,huggyllama/llama-7b,10,distilbert,1.1458332538604736,0.717391304347826,0.5806451612903226,0.45,0.8181818181818182,0.825974025974026,2.6805,17.161,2.238,10.81
0.9,1,huggyllama/llama-7b,50,distilbert,1.7495571374893188,0.6739130434782609,0.5161290322580645,0.4,0.7272727272727273,0.8025974025974025,2.6429,17.405,2.27,12.34
0.9,1,huggyllama/llama-7b,100,distilbert,0.6357319355010986,0.6956521739130435,0.5882352941176471,0.43478260869565216,0.9090909090909091,0.7974025974025974,2.6724,17.213,2.245,5.76
1.1,1,huggyllama/llama-7b,10,distilbert,0.7820544838905334,0.7391304347826086,0.5714285714285714,0.47058823529411764,0.7272727272727273,0.8,2.6407,17.42,2.272,9.46
1.1,1,huggyllama/llama-7b,50,distilbert,1.0151150226593018,0.6521739130434783,0.5,0.38095238095238093,0.7272727272727273,0.7246753246753247,2.8543,16.116,2.102,7.23
1.1,1,huggyllama/llama-7b,100,distilbert,0.6145761609077454,0.6086956521739131,0.43749999999999994,0.3333333333333333,0.6363636363636364,0.7506493506493506,2.6685,17.238,2.248,5.76
1.3,1,huggyllama/llama-7b,10,distilbert,1.2889926433563232,0.782608695652174,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.8181818181818181,2.7077,16.988,2.216,13.78
1.3,1,huggyllama/llama-7b,50,distilbert,1.5372458696365356,0.6956521739130435,0.5,0.4117647058823529,0.6363636363636364,0.8311688311688312,2.6587,17.302,2.257,9.79
1.3,1,huggyllama/llama-7b,100,distilbert,0.46474042534828186,0.782608695652174,0.37499999999999994,0.6,0.2727272727272727,0.8051948051948052,2.6792,17.169,2.239,5.25
1.5,1,huggyllama/llama-7b,10,distilbert,0.6706252098083496,0.8478260869565217,0.5333333333333333,1.0,0.36363636363636365,0.8597402597402597,2.8376,16.211,2.114,5.95
1.5,1,huggyllama/llama-7b,50,distilbert,0.6356543898582458,0.717391304347826,0.4799999999999999,0.42857142857142855,0.5454545454545454,0.8207792207792208,2.8568,16.102,2.1,7.02
1.5,1,huggyllama/llama-7b,100,distilbert,0.6270115375518799,0.6739130434782609,0.5161290322580645,0.4,0.7272727272727273,0.8545454545454545,2.7366,16.809,2.192,5.76
0.5,1,huggyllama/llama-30b,10,roberta,0.4659184515476227,0.7608695652173914,0.0,0.0,0.0,0.8883116883116884,4.6584,9.875,1.288,8.38
0.5,1,huggyllama/llama-30b,50,roberta,0.5254421234130859,0.7608695652173914,0.3529411764705882,0.5,0.2727272727272727,0.8753246753246753,4.4496,10.338,1.348,8.94
